Uni_ID;Trav_Origin;Trav_Des;N_traveler;N_ESBLpos;ESBL_prev;Unit ;Dur_trav;Unit_DurTrav;Trav_Conti;Dur_study;Ref
8;France;Myanmar;7;6;85.7;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Nepal;1;1;100;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;New Guinea;1;0;0;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Sri Lanka;3;3;100;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Thailand ;37;26;70.3;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Vietnam ;14;13;92.9;percent;20;MedianDays;Asia;2012 to 2013;Ruppe et al 2015
8;France;Argentina;7;1;14.3;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Bolivia;3;1;33.3;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Brazil;44;15;34.1;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Colombia;10;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Costa Rica;1;1;100;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Cuba;2;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Ecuador;7;4;57.1;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;French Guiana;42;2;4.8;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Guadeloupe;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Honduras;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Mexico;5;1;20;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Nicaragua;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Panama;1;0;0;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Peru;26;22;84.6;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Venezuela;4;1;25;percent;20;MedianDays;South America;2012 to 2013;Ruppe et al 2015
8;France;Angola;3;1;33.3;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Benin;11;4;36.4;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Burkina Faso;8;4;50;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Cameroon;24;13;54.2;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Central Aftrica;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Congo;13;8;61.5;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Ethiopia;4;2;50;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Gabon;3;2;66.7;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Ghana;1;1;100;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Guinea;4;3;75;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Guinea-Basseur;3;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Ivoty Coast;17;8;47.1;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Kenya;6;4;66.7;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Madagasca;7;4;57.1;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Mali;5;1;20;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Mozambique;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Niger;1;1;100;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Sao Tome and Principe;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Senegal;45;17;37.8;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;South africa;1;0;0;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Tanzania;11;7;63.6;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
8;France;Togo ;12;9;75;percent;20;MedianDays;Africa;2012 to 2013;Ruppe et al 2015
9;Switzerland;Africa;25;1;4;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;Asia ;31;10;32;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;Central America ;6;0;0;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;India ;8;7;88;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;Middle east;14;4;29;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;North America;2;0;0;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;South America;1;0;0;percent;14;MedianDays;;2007;Tangden et al 2010
9;Switzerland;South EU;16;2;13;percent;14;MedianDays;;2007;Tangden et al 2010
10;Germany;India;81;58;72;percent;28;MedianDays;Southern Asia;2013-2014;Miranda et al 2016
10;Germany;Southeast asia;39;23;59.5;percent;28;MedianDays;Southeast Asia;2013-2014;Miranda et al 2016
10;Germany;Asia outside SEA;7;3;43;percent;28;MedianDays;Asia;2013-2014;Miranda et al 2016
10;Germany;India subcontinent;15;6;40.3;percent;28;MedianDays;Southern Asia;2013-2014;Miranda et al 2016
10;Germany;Africa;27;9;33.6;percent;28;MedianDays;Africa;2013-2014;Miranda et al 2016
10;Germany;Thailand ;16;5;31.5;percent;28;MedianDays;Southeast Asia;2013-2014;Miranda et al 2016
10;Germany;South and Central america;21;3;14.6;percent;28;MedianDays;America;2013-2014;Miranda et al 2016
10;Germany;EU/North America;5;0;0;percent;28;MedianDays;America;2013-2014;Miranda et al 2016
